"it","estimate","conf.low","conf.up","midp","fisher","chisq","thresh","index","rescale","agg","hier","p.value","version","estimate_lab"
"fri9_z_h.ss",4.27,2.88,6.56,8.88178419700125e-16,1.00556128636363e-15,8.10139667156394e-14,"top 20%","EHD","z-scale","sum","hier.","***","EHD, z-scale, hier., sum, top 20%","4.27 (2.88-6.56)"
"fri9_mm_h.ss",5.39,3.53,8.63,0,5.23676983501544e-19,2.27827358591469e-16,"top 20%","EHD","min-max","sum","hier.","***","EHD, min-max, hier., sum, top 20%","5.39 (3.53-8.63)"
"fri9_d_h.ss",19.66,9.92,46.74,0,2.37933737623363e-34,4.22199216851593e-26,"top 20%","EHD","deciles","sum","hier.","***","EHD, deciles, hier., sum, top 20%","19.66 (9.92-46.74)"
"fri9_z_h.m",3.77,2.58,5.68,5.59552404411079e-14,7.06631282860695e-14,2.12551997349584e-12,"top 20%","EHD","z-scale","mult.","hier.","***","EHD, z-scale, hier., mult., top 20%","3.77 (2.58-5.68)"
"fri9_mm_h.m",10.23,6.02,19.05,0,9.69755201548978e-28,3.59540584506253e-22,"top 20%","EHD","min-max","mult.","hier.","***","EHD, min-max, hier., mult., top 20%","10.23 (6.02-19.05)"
"fri9_d_h.m",45.91,17.43,192.7,0,3.17434043139493e-40,6.57485550205479e-29,"top 20%","EHD","deciles","mult.","hier.","***","EHD, deciles, hier., mult., top 20%","45.91 (17.43-192.7)"
"fri9_z_nh.ss",3.92,2.68,5.95,1.4432899320127e-14,2.04725785326096e-14,7.30784683789231e-13,"top 20%","EHD","z-scale","sum","non-hier.","***","EHD, z-scale, non-hier., sum, top 20%","3.92 (2.68-5.95)"
"fri9_mm_nh.ss",4.46,3,6.9,0,2.5860687739327e-16,2.61212808822279e-14,"top 20%","EHD","min-max","sum","non-hier.","***","EHD, min-max, non-hier., sum, top 20%","4.46 (3-6.9)"
"fri9_d_nh.ss",11,6.36,21.02,0,4.07472946061406e-28,1.879300382518e-22,"top 20%","EHD","deciles","sum","non-hier.","***","EHD, deciles, non-hier., sum, top 20%","11 (6.36-21.02)"
"fri9_z_nh.m",3.77,2.58,5.68,5.59552404411079e-14,7.06631282860695e-14,2.12551997349584e-12,"top 20%","EHD","z-scale","mult.","non-hier.","***","EHD, z-scale, non-hier., mult., top 20%","3.77 (2.58-5.68)"
"fri9_mm_nh.m",5.99,3.87,9.78,0,1.39480182431359e-20,1.87055224163979e-17,"top 20%","EHD","min-max","mult.","non-hier.","***","EHD, min-max, non-hier., mult., top 20%","5.99 (3.87-9.78)"
"fri9_d_nh.m",22.91,11.05,58.91,0,1.09089941657551e-35,1.14687255555033e-26,"top 20%","EHD","deciles","mult.","non-hier.","***","EHD, deciles, non-hier., mult., top 20%","22.91 (11.05-58.91)"
"fri9_base",10.87,7.11,17.49,0,7.75443646990219e-43,1.3591138560825e-35,"top 20%","EHD",NA,NA,NA,"***","EHD, current version, top 20%","10.87 (7.11-17.49)"
"fri7_z_h.ss",4.38,3.31,5.87,0,3.01176684091062e-28,2.02361854004597e-26,"top 40%","EHD","z-scale","sum","hier.","***","EHD, z-scale, hier., sum, top 40%","4.38 (3.31-5.87)"
"fri7_mm_h.ss",4.67,3.52,6.29,0,3.73292783653792e-30,3.91670899335175e-28,"top 40%","EHD","min-max","sum","hier.","***","EHD, min-max, hier., sum, top 40%","4.67 (3.52-6.29)"
"fri7_d_h.ss",10.78,7.56,15.82,0,6.61769512553162e-56,5.85475872646998e-49,"top 40%","EHD","deciles","sum","hier.","***","EHD, deciles, hier., sum, top 40%","10.78 (7.56-15.82)"
"fri7_z_h.m",3.79,2.88,5.03,0,6.76718760413031e-24,1.21516227453789e-22,"top 40%","EHD","z-scale","mult.","hier.","***","EHD, z-scale, hier., mult., top 40%","3.79 (2.88-5.03)"
"fri7_mm_h.m",6.04,4.47,8.3,0,2.90640868087729e-38,6.7427198933039e-35,"top 40%","EHD","min-max","mult.","hier.","***","EHD, min-max, hier., mult., top 40%","6.04 (4.47-8.3)"
"fri7_d_h.m",11.97,8.3,17.85,0,8.12366660596337e-59,4.00955483525312e-51,"top 40%","EHD","deciles","mult.","hier.","***","EHD, deciles, hier., mult., top 40%","11.97 (8.3-17.85)"
"fri7_z_nh.ss",3.79,2.88,5.03,0,6.76718760413031e-24,1.21516227453789e-22,"top 40%","EHD","z-scale","sum","non-hier.","***","EHD, z-scale, non-hier., sum, top 40%","3.79 (2.88-5.03)"
"fri7_mm_nh.ss",5.61,4.17,7.67,0,7.48013028678022e-36,5.60782298477998e-33,"top 40%","EHD","min-max","sum","non-hier.","***","EHD, min-max, non-hier., sum, top 40%","5.61 (4.17-7.67)"
"fri7_d_nh.ss",8.59,6.15,12.29,0,1.52195038730488e-48,4.71680800926709e-43,"top 40%","EHD","deciles","sum","non-hier.","***","EHD, deciles, non-hier., sum, top 40%","8.59 (6.15-12.29)"
"fri7_z_nh.m",3.17,2.43,4.17,0,6.16272444448769e-19,4.05086996146767e-18,"top 40%","EHD","z-scale","mult.","non-hier.","***","EHD, z-scale, non-hier., mult., top 40%","3.17 (2.43-4.17)"
"fri7_mm_nh.m",5.87,4.35,8.05,0,2.8885558875697e-37,4.26212577873515e-34,"top 40%","EHD","min-max","mult.","non-hier.","***","EHD, min-max, non-hier., mult., top 40%","5.87 (4.35-8.05)"
"fri7_d_nh.m",11.58,8.06,17.17,0,3.80346157712326e-58,1.61271890428007e-50,"top 40%","EHD","deciles","mult.","non-hier.","***","EHD, deciles, non-hier., mult., top 40%","11.58 (8.06-17.17)"
"fri7_base",10.66,7.87,14.68,0,9.53646267958785e-68,4.36525881945513e-63,"top 40%","EHD",NA,NA,NA,"***","EHD, current version, top 40%","10.66 (7.87-14.68)"
"fri_z_h.ss",1.87,1.48,2.38,1.01825861076321e-07,1.07200262363847e-07,1.60104698429781e-07,"top 35%","ETC","z-scale","sum","hier.","***","ETC, z-scale, hier., sum, top 35%","1.87 (1.48-2.38)"
"fri_mm_h.ss",4.54,3.44,6.06,0,1.35533270078472e-31,8.62639178007945e-29,"top 35%","ETC","min-max","sum","hier.","***","ETC, min-max, hier., sum, top 35%","4.54 (3.44-6.06)"
"fri_d_h.ss",1.38,1.1,1.74,0.00517227974069878,0.00550185052413018,0.00544835062917656,"top 35%","ETC","deciles","sum","hier.","**","ETC, deciles, hier., sum, top 35%","1.38 (1.1-1.74)"
"fri_z_h.m",7.26,5.31,10.15,0,1.00256493730143e-46,6.99769423116087e-41,"top 35%","ETC","z-scale","mult.","hier.","***","ETC, z-scale, hier., mult., top 35%","7.26 (5.31-10.15)"
"fri_mm_h.m",15.62,10.44,24.54,0,6.74732660803227e-69,1.01500225679316e-56,"top 35%","ETC","min-max","mult.","hier.","***","ETC, min-max, hier., mult., top 35%","15.62 (10.44-24.54)"
"fri_d_h.m",4.8,3.63,6.45,0,3.01607766072272e-33,3.30518202028202e-30,"top 35%","ETC","deciles","mult.","hier.","***","ETC, deciles, hier., mult., top 35%","4.8 (3.63-6.45)"
"fri_z_nh.ss",2.2,1.73,2.82,3.53663764940393e-11,4.75383246197988e-11,9.07205056669505e-11,"top 35%","ETC","z-scale","sum","non-hier.","***","ETC, z-scale, non-hier., sum, top 35%","2.2 (1.73-2.82)"
"fri_mm_nh.ss",12.6,8.67,19.04,0,4.15949336957383e-63,6.91637204396052e-53,"top 35%","ETC","min-max","sum","non-hier.","***","ETC, min-max, non-hier., sum, top 35%","12.6 (8.67-19.04)"
"fri_d_nh.ss",1.29,1.03,1.62,0.027670457604664,0.0319738088615092,0.0282230620116722,"top 35%","ETC","deciles","sum","non-hier.","*","ETC, deciles, non-hier., sum, top 35%","1.29 (1.03-1.62)"
"fri_z_nh.m",4.82,3.64,6.47,0,1.78790951149665e-33,2.45924169933483e-30,"top 35%","ETC","z-scale","mult.","non-hier.","***","ETC, z-scale, non-hier., mult., top 35%","4.82 (3.64-6.47)"
"fri_mm_nh.m",28.1,16.97,50.8,0,7.50987868581196e-82,8.45031888309789e-65,"top 35%","ETC","min-max","mult.","non-hier.","***","ETC, min-max, non-hier., mult., top 35%","28.1 (16.97-50.8)"
"fri_d_nh.m",3.4,2.62,4.45,0,1.09980941034381e-22,3.67069107813025e-21,"top 35%","ETC","deciles","mult.","non-hier.","***","ETC, deciles, non-hier., mult., top 35%","3.4 (2.62-4.45)"
"fri_base",1.41,1.13,1.78,0.00266908992944348,0.00279252045099778,0.00284533037551569,"top 35%","ETC",NA,NA,NA,"**","ETC, current version, top 35%","1.41 (1.13-1.78)"
